Datetime,Electricity:Facility(kWh),ElectricityProduced:Facility(),Gas:Facility(kBtu),DistrictCooling:Facility(),DistrictHeating:Facility(),District Cooling Chilled Water Rate(),District Cooling Mass Flow Rate(),District Cooling Inlet Temperature(),District Cooling Outlet Temperature(),District Heating Hot Water Rate(),District Heating Mass Flow Rate(),District Heating Inlet Temperature(),District Heating Outlet Temperature(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PMV BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 1 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 3(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 2 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 2(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT DINING PEOPLE 1(),Zone Thermal Comfort Fanger Model PPD BUILDING STORY 3 THERMALZONE FULLSERVICERESTAURANT KITCHEN PEOPLE 1(),Net Electric Energy(kWh),Electricity:Facility Power(kW),ElectricityProduced:Facility Power(kW),Electricity:Facility Apparent Power(kW),ElectricityProduced:Facility Apparent Power(kW),Net Power(kW),Net Apparent Power(kW)
2019/12/25 18:00:00,3865.3479669885237,0.0,30095.240919276766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4643991703652576,-0.42922328389171827,-0.2860515769413246,-0.2860515769413246,9.502376400337639,8.841975068365713,6.699765903062072,6.699765903062072,3865.3479669885237,3865.3479669885237,0.0,4294.831074431693,0.0,3865.3479669885237,4294.831074431693
2019/12/25 19:00:00,3722.069914642871,0.0,28731.134602691393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4453438425246188,-0.4108770464700282,-0.2682750012394849,-0.2682750012394849,9.138022349286544,8.518623666543533,6.494465683733097,6.494465683733097,3722.069914642871,3722.069914642871,0.0,4135.633238492079,0.0,3722.069914642871,4135.633238492079
2019/12/25 20:00:00,3364.98814210888,0.0,24837.800297951195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4165040001175944,-0.39716133739959236,-0.26594930191032223,-0.26594930191032223,8.616264148389448,8.286305216391938,6.468591594118067,6.468591594118067,3364.98814210888,3364.98814210888,0.0,3738.8757134543107,0.0,3364.98814210888,3738.8757134543107
2019/12/25 21:00:00,3756.247083462157,0.0,31408.080677691443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41186391924129545,-0.3917577952988088,-0.3122862235047825,-0.3122862235047825,8.53565006000565,8.196989285883674,7.027122991275192,7.027122991275192,3756.247083462157,3756.247083462157,0.0,4173.607870513508,0.0,3756.247083462157,4173.607870513508
2019/12/25 22:00:00,3119.445048556913,0.0,25474.32535405317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43401709711474,-0.40576994174092157,-0.41666143511853465,-0.41666143511853465,8.928845258370316,8.431177898797642,8.619015517620383,8.619015517620383,3119.445048556913,3119.445048556913,0.0,3466.0500539521254,0.0,3119.445048556913,3466.0500539521254
2019/12/25 23:00:00,2129.2885075795302,0.0,24724.261469909263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.47783423852785495,-0.4422800717562887,-0.5468417636046632,-0.5468417636046632,9.76866626419698,9.080898086892631,11.259300352802114,11.259300352802114,2129.2885075795302,2129.2885075795302,0.0,2365.876119532811,0.0,2129.2885075795302,2365.876119532811
2019/12/26 00:00:00,1286.6045554781922,0.0,24122.539889689015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5193150973425329,-0.48045879541226605,-0.6799106484414716,-0.6799106484414716,10.640000865435752,9.821594972010232,14.71650001769413,14.71650001769413,1286.6045554781922,1286.6045554781922,0.0,1429.5606171979912,0.0,1286.6045554781922,1429.5606171979912
2019/12/26 01:00:00,767.377493247097,0.0,9005.916351196614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5518173441401384,-0.5131473318888099,-0.7530849237728338,-0.7530849237728338,11.37474482555632,10.505735768181054,16.944170327912374,16.944170327912374,767.377493247097,767.377493247097,0.0,852.641659163441,0.0,767.377493247097,852.641659163441
2019/12/26 02:00:00,505.09474448040527,0.0,802.6771888227421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4305339665255211,-0.3894790333029941,-0.6705195759106204,-0.6705195759106204,8.865628360710858,8.159697468701381,14.447334266992712,14.447334266992712,505.09474448040527,505.09474448040527,0.0,561.2163827560058,0.0,505.09474448040527,561.2163827560058
2019/12/26 03:00:00,581.6930563251797,0.0,882.197541230737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4805987721950775,-0.47805890203593593,-0.8663429836763982,-0.8663429836763982,9.824426191218294,9.773185362371606,20.842170211541273,20.842170211541273,581.6930563251797,581.6930563251797,0.0,646.3256181390885,0.0,581.6930563251797,646.3256181390885
2019/12/26 04:00:00,505.09465673062795,0.0,730.8530030425113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4772690286716952,-0.47176436643210384,-0.9208600270374375,-0.9208600270374375,9.75730671633228,9.647394806123955,22.90867535135945,22.90867535135945,505.09465673062795,505.09465673062795,0.0,561.2162852562532,0.0,505.09465673062795,561.2162852562532
2019/12/26 05:00:00,868.4925280854461,0.0,2502.6688474702214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.487655732972396,-0.49066287020058424,-0.999458974636424,-0.999458974636424,9.968258491232447,10.030201955856782,26.09687528123935,26.09687528123935,868.4925280854461,868.4925280854461,0.0,964.9916978727179,0.0,868.4925280854461,964.9916978727179
